,epsilon,g,gamma_hot,gamma_cold,temperature_hot,temperature_cold,concurrence
128,1,0.02,0.001,0.1,12.9,0.01,0.09171749109581047
129,1,0.02,0.001,0.1,13.0,0.01,0.09172059535769019
130,1,0.02,0.001,0.1,13.1,0.01,0.09172000408672107
131,1,0.02,0.001,0.1,13.200000000000001,0.01,0.09171578941068721
132,1,0.02,0.001,0.1,13.3,0.01,0.09170802198425018
133,1,0.02,0.001,0.1,13.4,0.01,0.09169677102397154
134,1,0.02,0.001,0.1,13.5,0.01,0.09168210434236373
135,1,0.02,0.001,0.1,13.6,0.01,0.09166408838099696
136,1,0.02,0.001,0.1,13.700000000000001,0.01,0.09164278824269864
137,1,0.02,0.001,0.1,13.8,0.01,0.09161826772286717
138,1,0.02,0.001,0.1,13.9,0.01,0.09159058933993292
139,1,0.02,0.001,0.1,14.0,0.01,0.09155981436498914
140,1,0.02,0.001,0.1,14.1,0.01,0.09152600285062476
141,1,0.02,0.001,0.1,14.200000000000001,0.01,0.09148921365897446
142,1,0.02,0.001,0.1,14.3,0.01,0.09144950448902203
143,1,0.02,0.001,0.1,14.4,0.01,0.09140693190316813
144,1,0.02,0.001,0.1,14.5,0.01,0.0913615513530948
145,1,0.02,0.001,0.1,14.6,0.01,0.09131341720494157
146,1,0.02,0.001,0.1,14.700000000000001,0.01,0.09126258276381907
147,1,0.02,0.001,0.1,14.8,0.01,0.09120910029767489
148,1,0.02,0.001,0.1,14.9,0.01,0.09115302106053853
149,1,0.02,0.001,0.1,15.0,0.01,0.09109439531515512
150,1,0.02,0.001,0.1,15.1,0.01,0.09103327235503518
151,1,0.02,0.001,0.1,15.200000000000001,0.01,0.09096970052593038
152,1,0.02,0.001,0.1,15.3,0.01,0.09090372724675908
153,1,0.02,0.001,0.1,15.4,0.01,0.09083539902999176
154,1,0.02,0.001,0.1,15.5,0.01,0.09076476150151504
155,1,0.02,0.001,0.1,15.6,0.01,0.09069185941999322
156,1,0.02,0.001,0.1,15.700000000000001,0.01,0.0906167366957344
157,1,0.02,0.001,0.1,15.8,0.01,0.09053943640908074
158,1,0.02,0.001,0.1,15.9,0.01,0.09046000082833854
159,1,0.02,0.001,0.1,16.0,0.01,0.09037847142725446
160,1,0.02,0.001,0.1,16.1,0.01,0.0902948889020574
161,1,0.02,0.001,0.1,16.200000000000003,0.01,0.09020929318807623
162,1,0.02,0.001,0.1,16.3,0.01,0.09012172347594456
163,1,0.02,0.001,0.1,16.400000000000002,0.01,0.0900322182274064
164,1,0.02,0.001,0.1,16.500000000000004,0.01,0.08994081519073108
165,1,0.02,0.001,0.1,16.6,0.01,0.08984755141575154
166,1,0.02,0.001,0.1,16.700000000000003,0.01,0.0897524632685372
167,1,0.02,0.001,0.1,16.8,0.01,0.08965558644570389
168,1,0.02,0.001,0.1,16.900000000000002,0.01,0.08955695598838405
169,1,0.02,0.001,0.1,17.000000000000004,0.01,0.08945660629585389
170,1,0.02,0.001,0.1,17.1,0.01,0.08935457113883694
171,1,0.02,0.001,0.1,17.200000000000003,0.01,0.08925088367248343
172,1,0.02,0.001,0.1,17.3,0.01,0.08914557644904644
173,1,0.02,0.001,0.1,17.400000000000002,0.01,0.08903868143024887
174,1,0.02,0.001,0.1,17.500000000000004,0.01,0.08893022999936304
175,1,0.02,0.001,0.1,17.6,0.01,0.08882025297300264
176,1,0.02,0.001,0.1,17.700000000000003,0.01,0.08870878061263435
